lf_indekso;;;;;;;;;;;
lf_indekso;;;;;;;;;;;
jaro;monato;n-ro;paĝo(j);aŭtoro(j);titolo;tradukis;fontlingvo;rubriko;ŝlosilvorto;recenzita verko/filmo;tipologio
46 - 2015;februaro;273;4;Perla Martinelli;Bondeziron al Marc kaj ĉiuj;;;NOVJARA SALUTO;bondeziro;;anonco
46 - 2015;februaro;273;5;Nicolino Rossi;Februara dimanĉo;;;UVERTURO;poemo;;poezio originala
46 - 2015;februaro;273;6-8;Giorgio Silfer;La fekunda afrika utopio: de Jules Verne ĝis Kabino;;;REDAKCIE;eseo;;anonco
46 - 2015;februaro;273;9-11;Jules Verne;Spikume tra Voyage d’ études;Nikolas Vanof;franca;BELETRO;romano;;prozo tradukita
46 - 2015;februaro;273;12-13;Carlo Minnaja;La lastaj vortoj de Tristano al amiko;;;HISTORIO;teatro;;teatro originala
46 - 2015;februaro;273;14-16;Patrik Modiano;Strato de la Malhelaj Butikoj;Marie-France Conde Rey;franca;KONKURSFAKO;romano;;prozo tradukita
46 - 2015;februaro;273;17-19;Massimo Acciai;Kiu vere estas verkisto?;;;KULTURPOLITIKO;artikolo;;eseo originala
46 - 2015;februaro;273;20-21;Nicolino Rossi;Releginte la Proverbaron;;;HUMURO;poezio;;poezio originala
46 - 2015;februaro;273;22-23;Perla Martinelli;Spure pri la kolomana Danto;;;BELETRO;eseo;;prozo originala
46 - 2015;februaro;273;24;Giorgio Silfer;Spure pri la kolomana Danto (apendico);;;BELETRO;eseo;;prozo originala
46 - 2015;februaro;273;25-27;Alga Guernieri;Eŭgeno Lanti: skribanalizo;;;ESEO;eseo;;eseo originala
46 - 2015;februaro;273;28-29;Giorgio Silfer;Ŝa plej dorna rozo ruĝas antaŭ la vintro de nia vivo;;;LA SEPA ARTO;filmo;;prozo originala
46 - 2015;februaro;273;30-31;Armando Zecchin;Ne nur konsenti kun Degoul;;;KOMENTARIO;opinio;;eseo originala
46 - 2015;februaro;273;32-38;Vinko Ošlak;Kosmopolitoj kaj uranopolitoj;;;ZAMENHOFOLOGIO;eseo;;eseo originala
46 - 2015;februaro;273;39-41;Carlo Minnaja;Ho, karaj panjoj miaj…;;;HISTORIO;eseo;;eseo originala
46 - 2015;februaro;273;42-44;Julian Modest;Ani;;;BELETRO;novelo;;prozo originala
46 - 2015;februaro;273;45;La Redakcio;Mafalda, juna kvindekjarulino;;;BILDLITERATURO;premio;;anonco
46 - 2015;februaro;273;46-48;Sara Spano;Esploro pri nedifinebla estetika sento;;;EN VITRINO;recenzo;Darik Otira (2014), Vojago al kunigo (Konfesoj de seksobsedito);recenzo
46 - 2015;februaro;273;49-51;Siv Burell;Tre neordinara novelaro;;;EN VITRINO;recenzo;"L. Nordenstorm (2014), 
Söka bostad i storstaden (Serêi logejon en grandurbo), tr. Sten Johanson";recenzo
46 - 2015;februaro;273;52-53;Giuseppe Gradella kaj Rita Donatelli;Vojaĝo tra sentoj kaj emocioj;;;EN VITRINO;recenzo;Giuseppe Campolo red. (2014), Poezio el ciuj cieloj / Poesia da tutti i cieli;recenzo
46 - 2015;februaro;273;54;Goncalo Neves;"Pardonpeto pri ""La manto""";;;ESEO;dokumento;;eseo originala
46 - 2015;aprilo;274;59;Gerrit Berveling;En la grandurbo;;;UVERTURO;poemo;;poezio originala
46 - 2015;aprilo;274;60-62;Giorgio Silfer;Endre Andy kaj la aliaj: esperanto por hungara progreso;;;REDAKCIE;eseo;;anonco
46 - 2015;aprilo;274;63-64;Endre Ady;Hungara Problemo;Giorgio Silfer;hungara;ESEO;historio;;eseo tradukita
46 - 2015;aprilo;274;65-67;Ivo Andriĉ;La ponto super Drino;Antonije Sekelj;serba-kroata;ESEO;eseo;;eseo tradukita
46 - 2015;aprilo;274;68-70;Marie-France Conde Rey;Malgraŭ funebro kaj timo;;;BILDLITERATURO;bildstrio;;prozo originala
46 - 2015;aprilo;274;71;Zlatoje Martinov;Vivanta lingvo, vivanta popolo;;;INTERVJUO;prelego;;eseo originala
46 - 2015;aprilo;274;72-76;Sabine Fiedler;Frazeologio kiel pruvo de esprimriĉeco de lingvo;;;LINGVISTIKO;prelego;;eseo originala
46 - 2015;aprilo;274;77-81;Zdravko Seleŝ;Lumo sen ombro;;;ESEO;libro;;eseo originala
46 - 2015;aprilo;274;82-83;Carlo Minnaja;Granda, sed forges...ito;;;ZAMENHOFOLOGIO;rememoro;;nekrologo
46 - 2015;aprilo;274;84-85;Giorgio Silfer;Se Alois ne pardonas… du filmoj pri Alzheimer;;;LA SEPA ARTO;artikolo;;prozo originala
46 - 2015;aprilo;274;86-87;Leif Nordenstorm;La mormona kredo ke Jesuo estis en Ameriko;;;FILOZOFIO;artikolo;;eseo originala
46 - 2015;aprilo;274;88-95;Vinko Ošlak;Kosmopolitoj kaj uranopolitoj (fino);;;ZAMENHOFOLOGIO;eseo;;eseo originala
46 - 2015;aprilo;274;96-99;Fabrizio A. Pennachietti;Eventuala araba fonto de Dekameerona novelo;;;BELETRO;novelaro;;prozo originala
46 - 2015;aprilo;274;100-101;Carlo Minnaja;De nenifaro al troimpeto;;;EN VITRINO;recenzo;Nicola Ruggiero (2014), La kanto de l’ korvo;recenzo
46 - 2015;aprilo;274;102-104;Sara Spano;Magia sinmalkovro;;;EN VITRINO;recenzo;"Samideano (2014), Kiu konis
sinjoron Bosko Nedelkoviĉ?";recenzo
46 - 2015;aprilo;274;105;Carlo Minnaja;Nepre leginda manlibro;;;EN VITRINO;recenzo;"Sabine Fiedler, Pavel Rak (2009), Ilustrita frazeologio, 
2a eldono";recenzo
46 - 2015;aprilo;274;106-107;Esperanta PEN-Centro;Kreskantaj aktiveco… kaj aĝo;;;SPECIALE PEN;jubileo;;anonco
46 - 2015;aprilo;274;108-110;Julian Modest;La revo de Vaska;;;BELETRO;novelo;;prozo originala
46 - 2015;junio;275;115-117;Baldur Ragnarsson;Nova poemo;;;UVERTURO;poemo;;poezio originala
46 - 2015;junio;275;118-121;Giorgio Silfer;La facila planlingvo en la plej malfacila romano;;;REDAKCIE;eseo;;anonco
46 - 2015;junio;275;122-123;Giorgio Silfer;Du homoj kun ecoj… kaj homaj kunecoj?;;;KOMENTARIO;historio;;eseo originala
46 - 2015;junio;275;124;Massimo Acciai;Grimpoplantoj;;;BELETRO;noveleto;;prozo originala
46 - 2015;junio;275;125-127;Carlo Minnaja;Kiom Nobel proksimas?;;;ESEO;eseo;;eseo originala
46 - 2015;junio;275;128-131;Armando Zecchin;Biblio laŭ Jorge Luis Borges;;;BELETRO;religio;;prozo originala
46 - 2015;junio;275;132-135;Vinko Ošlak;La absoluto kaj relativo de sukceso;;;ZAMENHOFOLOGIO;eseo;;eseo originala
46 - 2015;junio;275;136-138;Leif Nordenstorm;Otto Zeidlitz: forgesita pioniro;;;HISTORIO;eseo;;eseo originala
46 - 2015;junio;275;139;Carlo Minnaja;Amo savos la mondon;;;EN VITRINO;recenzo;Karel Kraft (2005), Heroo de amo;recenzo
46 - 2015;junio;275;140-141;Nicolino Rossi;"El ""Oldula notlibro""";;;BELETRO;poemo;;poezio originala
46 - 2015;junio;275;142-146;Giorgio Silfer;Frinemorfozo;;;BELETRO;kino;;prozo originala
46 - 2015;junio;275;147;Andreas Sciberras;La Cirko;Carmel Mallia;malta;BELETRO;poemo;;poezio tradukita
46 - 2015;junio;275;148-149;Giorgio Silfer;Italio malkovris sian Inárritu;;;LA SEPA ARTO;romano;;prozo originala
46 - 2015;junio;275;150-155;Salvatore di Benedetto;Sicilio: lando en kiu kunestis same sufero kaj amo;Nicolino Rossi;itala;BELETRO;taglibro;;prozo tradukita
46 - 2015;junio;275;156-157;Zlatoje Martinov;Kaja Farszky, artistino kaj esperantistino;;;MUZIKO;artikolo;;eseo originala
46 - 2015;junio;275;158-161;Julian Modest;La miraklo de la parolo;;;BELETRO;prozo;;prozo originala
46 - 2015;junio;275;162-164;Zlatoje Martinov;Esperanto: reala lingvo en reala kaj virtuala komunumoj;;;PLANLINGVISTIKO;eseo;;eseo originala
46 - 2015;junio;275;165-166;Marie-France Conde Rey;Manko de polit...esse;;;KOMENTARIO;reago;;eseo originala
46 - 2015;aŭgusto;276;171;Goncalo Neves;Nun mi volus;;;UVERTURO;poemo;;poezio originala
46 - 2015;aŭgusto;276;172-173;Giorgio Silfer;John R. R. Tolkien, la kabeinta esperantano;;;REDAKCIE;prezento;;anonco
46 - 2015;aŭgusto;276;174-175;John Ronald Reuel Tolkien;Filologo pri esperanto;Giorgio Silfer;angla;PLANLINGVISTIKO;artikolo;;eseo tradukita
46 - 2015;aŭgusto;276;176-181;Zlatoje Martinov;La monumenta historio de la esperanta literaturo;;;INTERVJUO;prozo;;intervjuo
46 - 2015;aŭgusto;276;182-184;Craig Brown;Kiel James Joyce kontiĝis kun Marcel Proust;Perla Martinelli;angla;ESEO;eseo;;eseo tradukita
46 - 2015;aŭgusto;276;185-187;Nicolino Rossi;Ĉiam aktuala ĉefverko;;;TRADUKARTO;eseo;;eseo originala
46 - 2015;aŭgusto;276;188-189;La Redakcio;La turka PEN-Centro gastigis prelegon pri nia literaturo;;;SPECIALE PEN;dokumento;;anonco
46 - 2015;aŭgusto;276;190-192;Francisko Degoul;Pri Zamenhof, ĝis kie konsenti kun Zecchin;;;ZAMENHOFOLOGIO;eseo;;eseo originala
46 - 2015;aŭgusto;276;193-195;Leif Nordenstorm;Legi la Biblion dum unu jaro;;;FILOZOFIO;artikolo;;eseo originala
46 - 2015;aŭgusto;276;196-197;Giorgio Silfer;La humiligo kiu ne plaĉas en Usono;;;LA SEPA ARTO;teatro;;teatro originala
46 - 2015;aŭgusto;276;198-200;Armando Zecchin;La atlaso de la genocidoj, nigra libro de la homaro;;;BELETRO;eseo;;prozo originala
46 - 2015;aŭgusto;276;201-202;Maurice Druon;Tiĉjo kun verdaj poleksoj;Marie-France Conde Rey;franca;BELETRO;fragmento;;prozo tradukita
46 - 2015;aŭgusto;276;203-208;Christer Kiselman k.a.;Ne nur prelegoj;;;PLANLINGVISTIKO;eseo;;eseo originala
46 - 2015;aŭgusto;276;209;Dimitrinka Kateva / Valentin Melnikov;EKRA jubilea kaj ĉiam aktuala;;;KONKURSFAKO;literaturo;;eseo originala
46 - 2015;aŭgusto;276;210-213;Julian Modest;Magdaleno;;;BELETRO;prozo;;prozo originala
46 - 2015;aŭgusto;276;214-216;Sara Spano;Aventurplena verko: ĉefrolulo de pasiiga historio de la teksto;;;EN VITRINO;recenzo;Louis Fréchette (2013), Kristnaskaj rakontoj el franca Kanado, tr. Vincent Beaupré, dua eldono reviziita de François Lorrain;recenzo
46 - 2015;aŭgusto;276;217;Perla Martinelli;Aromo de norda simpleco;;;EN VITRINO;recenzo;Leif Nordenstorm (2012),  Arne, la ĉefido, dua eldono;recenzo
46 - 2015;aŭgusto;276;218-220;Zlatoje Martinov;Sicilio, samtempe amara kaj kara;;;EN VITRINO;recenzo;"Salvatore Di Benedetto (2015),
Dalla Sicilia alla Sicilia/De Sicilio al Sicilio, tr. Nicolino Rossi";recenzo
46 - 2015;aŭgusto;276;221-222;Julian Modest;Kio fakte faras homon?;;;EN VITRINO;recenzo;Kristian Lundberg (2015), La korto, tr. Gunnar Gällmo,;recenzo
46 - 2015;oktobro;277;227;Mao Zifu;Mateno;;;UVERTURO;poemo;;poezio originala
46 - 2015;oktobro;277;228-229;Giorgio Silfer;Esperantisto kiel ero de la kibuca otupio;;;REDAKCIE;novelaro;;anonco
46 - 2015;oktobro;277;230-236;Amos Oz;Esperanto;Amri Wandel, Gian Piero Savio;hebrea;BELETRO;fragmento;;prozo tradukita
46 - 2015;oktobro;277;237-238;Zlatoje Martinov;Historio de nia literaturo prezentita en Kroatio;;;ESEO;prezento;;eseo originala
46 - 2015;oktobro;277;239;Zlatoje Martinov;Omaĝe al Tibor Sekelj;;;MEMORE PRI;omaĝo;;nekrologo
46 - 2015;oktobro;277;240-242;Zlatoje Martinov;Universalismoj en la poemo de Sekelj Mi vizitas mian farmon;;;HISTORIO;eseo;;eseo originala
46 - 2015;oktobro;277;243-245;Tibor Sekelj;Esperanto - lingvo por ĉiuj;;;ESEO;parolado;;anonco
46 - 2015;oktobro;277;246-248;Elizabeto Sekelj;La lastaj aktivadoj de Tibor;;;MEMORE PRI;omaĝo;;nekrologo
46 - 2015;oktobro;277;249-250;István Nemere;Krimo sen puno;;;BELETRO;prozo;;prozo originala
46 - 2015;oktobro;277;251-254;Giuseppe Ungaretti;"Elektitaj poemoj el ""Sento de l’ tempo""";Nicolino Rossi;itala;BELETRO;poezio;;poezio tradukita
46 - 2015;oktobro;277;255-258;Carmel Mallia;Transflugo;;;ESEO;prozo;;prozo originala
46 - 2015;oktobro;277;259;Giorgio Silfer;Ŝanco por patr(in)eco;;;LA SEPA ARTO;kino;;prozo originala
46 - 2015;oktobro;277;260-265;Christer Kiselman;La lingvoj de Zamenhof (1878, 1881, 1887, 1905);;;PLANLINGVISTIKO;eseo;;eseo originala
46 - 2015;oktobro;277;266-267;Frédéric Beigbeder;Kiel eskapi la malfeliĉojn?;Marie-France Conde Rey;franca;BELETRO;romano;;prozo tradukita
46 - 2015;oktobro;277;268-269;Venelin Mitev;Sonoroj el suna tero;;;BELETRO;poezio;;poezio originala
46 - 2015;oktobro;277;270-271;Armando Zecchin;Noktotempa radio;;;FILOZOFIO;artikolo;;eseo originala
46 - 2015;oktobro;277;272-274;Sara Spano;Kompreni estintecon por konstrui estontecon;;;EN VITRINO;recenzo;Julian Modest (2015), La viro el la pasinteco;recenzo
46 - 2015;oktobro;277;275-277;Carlo Minnaja;Kiel moviĝi en Esperantio?;;;EN VITRINO;recenzo;Aleksandro Melnikov (2015), Gvidlibro tra Esperantio;recenzo
46 - 2015;oktobro;277;278;Armando Zecchin;Estu savaj amikeco kaj estimo!;;;ZAMENHOFOLOGIO;respondo;;eseo originala
46 - 2015;decembro;278;283;Carmel Mallia;Uragano;;;UVERTURO;poemo;;poezio originala
46 - 2015;decembro;278;284-285;Giorgio Silfer;Strasser certe ne estas strato;;;REDAKCIE;artikolo;;anonco
46 - 2015;decembro;278;286-288;Johano Strasser;"Spikume el ""La sono de l’ fanfaro""";Vinko Ošlak;germana;ESEO;eseo;;eseo tradukita
46 - 2015;decembro;278;289-291;Giorgio Silfer;La popolo de la formikoj;;;ESEO;artikolo;;eseo originala
46 - 2015;decembro;278;292-294;Svetlana Aleksijeviĉ;Pri la silento de polvo…;Zlatoje Martinov;rusa;KONKURSFAKO;historio;;eseo tradukita
46 - 2015;decembro;278;295-299;Davor Klobuĉar;La plej defia: Smail-agao Ĉengiĉ;;;TRADUKARTO;libro;;eseo originala
46 - 2015;decembro;278;300-305;Trevor Steele;Ek al Marina!;;;BELETRO;romano;;poezio originala
46 - 2015;decembro;278;306-307;Francisko Degoul;Biblio kaj Korano;;;KOMENTARIO;opinio;;eseo originala
46 - 2015;decembro;278;307;La Redakcio;Represo kaj persona jubileo;;;REDAKCIE;jubileo;;anonco
46 - 2015;decembro;278;308-309;Renée Triolle;La estona holokaŭsto;;;LA SEPA ARTO;historio;;prozo originala
46 - 2015;decembro;278;310-313;Armando Zecchin;Laudato si’ - la poemo kosma;;;FILOZOFIO;eseo;;eseo originala
46 - 2015;decembro;278;314-317;Zahari Karabaŝliev;Historio pri kuko;Venelin Mitev;bulgara;BELETRO;prozo;;prozo tradukita
46 - 2015;decembro;278;318-321;Nicolino Rossi;Mitoj kaj legendoj pri la vulkano;;;BELETRO;eseo;;prozo originala
46 - 2015;decembro;278;322-325;Carmel Mallia;Transflugo (dua raporto);;;MEMORE PRI;historia eseo;;eseo originala
46 - 2015;decembro;278;326-327;Carlo Minnaja;Spirito kristana, sed ne bigota;;;EN VITRINO;recenzo;Clelia Conterno Guglielminetti (2015), Ho, tomboj de l’ prapatroj;recenzo
46 - 2015;decembro;278;328-329;Zlatoje Martinov;Konvinka kaj harmonia liriko;;;EN VITRINO;recenzo;Dimitrije Janiĉiĉ (2012), Maturaj Meditadoj;recenzo
46 - 2015;decembro;278;330-331;Julian Modest;Kiu strebas al vero, trafas suferon;;;EN VITRINO;recenzo;István Sigmond (2015), Konsilo de ateisto: kredu je Dio;recenzo
46 - 2015;decembro;278;332-334;Massimo Acciai;Ĉu artefarita lingvo estas paradokso?;;;PLANLINGVISTIKO;eseo;;eseo originala
47 - 2016;februaro;279;3;Dimitrije Jariĉiĉ;Montenegro;;;UVERTURO;poemo;;poezio originala
47 - 2016;februaro;279;4;Zlatoje Martinov;La nekompatema Eŭropo;;;REDAKCIE;deklaro;;anonco
47 - 2016;februaro;279;5;La Komitato de FEM;Pri la novjarnokta perforto;;;NOVJARA SALUTO;dokumento;;eseo originala
47 - 2016;februaro;279;6-7;Giorgio Silfer;Holokaŭstopli hororas en distopia komikso;;;REDAKCIE;artikolo;;anonco
47 - 2016;februaro;279;8-9;Otto Gabos;"Du paĝoj el ""Esperanto""";;;BILDLITERATURO;bildliteraturo;;prozo originala
47 - 2016;februaro;279;10-15;Fabrizio Pennachietti;Pensvagado pri profetoj kaj profetaĵoj;;;LINGVISTIKO;eseo;;eseo originala
47 - 2016;februaro;279;16-18;Armando Zecchin;Pri homaj rajtoj kaj ties fontoj;;;KOMENTARIO;eseo;;eseo originala
47 - 2016;februaro;279;19-20;Leif Nordenstorm;Adoru - bunta Diserva libro;;;FILOZOFIO;prezento;;eseo originala
47 - 2016;februaro;279;21-27;Carlo Minnaja;La Lingva Komitato inter 1914 kaj 1920;;;HISTORIO;elĉerpaĵo;;prozo originala
47 - 2016;februaro;279;28-29;Giorgio Silfer;Itala nutre, brazila sekse;;;LA SEPA ARTO;kino;;prozo originala
47 - 2016;februaro;279;30-32;Zlatoje Martinov;Poeto Dimitrije Janiĉiĉ iĝis 80-jara: esperanto en la koro;;;INTERVJUO;prozo;;intervjuo
47 - 2016;februaro;279;33-35;Dimitrije Jariĉiĉ;La malpermesata amo;;;BELETRO;eseo;;prozo originala
47 - 2016;februaro;279;36-40;Italo Calvino;La fajfo de la merlo;Nicolino Rossi;itala;BELETRO;rakonto;;prozo tradukita
47 - 2016;februaro;279;41-43;Carmel Mallia;Transflugo (tria parto);;;MEMORE PRI;historia eseo;;nekrologo
47 - 2016;februaro;279;44-47;Danilo Kiŝ;Glore estas por la patrujo morti;Agnesa Eremija;serba;BELETRO;novelo;;prozo tradukita
47 - 2016;februaro;279;48-50;Sara Spano;Poezio: ĉefa ingredienco de mistera kaj resaniga eliksiro;;;EN VITRINO;recenzo;Giuseppe Campolo red. (2015), Poesia da tutti i cieli / Poezio el ciuj cieloj (antologio de la premio 2015);recenzo
47 - 2016;februaro;279;51-53;Julian Modest;Vivo dediĉita al la homa interkompreniĝo;;;EN VITRINO;recenzo;"György Nanovfszky (2015), NANO - Aventuroj de
poliglota diplomato en kvin kontinentoj kun intervjuo de István Nemere";recenzo
47 - 2016;februaro;279;54;Sen Rodin;Ĉu perspektivo aŭ kiel eviti la katastrofon?;;;HUMURO;artikolo;;prozo originala
47 - 2016;aprilo;280;59;Giorgio Silfer;Pastiĉa prtreto pri William kaj Miguel;;;UVERTURO;poemo;;poezio originala
47 - 2016;aprilo;280;60-62;Marie-France Conde Rey;Bildstria Festivalo 2016;;;BILDLITERATURO;aranĝo;;anonco
47 - 2016;aprilo;280;63;Giorgio Silfer;Per Asterks la Gaŭlo ekis nia komiksa epoko;;;REDAKCIE;artikolo;;anonco
47 - 2016;aprilo;280;64-66;Carlo Minnaja;Omaĝe al Umberto Eco;;;MEMORE PRI;omaĝo;;nekrologo
47 - 2016;aprilo;280;67-69;Nicolino Rossi;Poeziaj sonoroj ĉe la Herkulanaj ruinoj;;;HUMURO;eseo;;eseo originala
47 - 2016;aprilo;280;70-79;Spomenka Ŝtimec;Kroataj fruktoj de la ĉina restado de Vasilij Eroŝenko;;;HISTORIO;prelego;;eseo originala
47 - 2016;aprilo;280;80-81;Giorgio Silfer;Clara Sancricca kaj ŝiaj esperantlingvaj elmigrantoj;;;TEATRO;intervjuo;;intervjuo
47 - 2016;aprilo;280;82-83;Michel Onfray;Ateisma rekviemo;Zlatoje Martinov;franca;FILOZOFIO;poemo;;poezio tradukita
47 - 2016;aprilo;280;84-85;Giorgio Silfer;Se iam danci kun lupoj, neniam danci kun ursoj…;;;LA SEPA ARTO;filmo;;prozo originala
47 - 2016;aprilo;280;86-90;Massimo Acciai;Rigardo al la avangardo de Virgilio Martini;;;BELETRO;eseo;;prozo originala
47 - 2016;aprilo;280;91-93;Carmel Mallia;Transflugo (kvara parto);;;MEMORE PRI;historia eseo;;nekrologo
47 - 2016;aprilo;280;94-96;Andrej Kurkov;Kamarado de l’ mortonto;Renée Triolle;rusa;BELETRO;novelo;;prozo tradukita
47 - 2016;aprilo;280;97;Nicolino Rossi;Kial nun miri pro l’ angor’?;;;BELETRO;poemo;;poezio originala
47 - 2016;aprilo;280;98-104;Luan Arif Starova;La tempo de la kaprinoj;B.Selimi / T. Chmielik;albana;BELETRO;fragmento;;prozo tradukita
47 - 2016;aprilo;280;105;Marie-France Conde Rey;Kameŭaŭa en nova vesto;;;EN VITRINO;recenzo;Tibor Sekelj (2015), Kumeǔaǔa, filo de ĝangalo,  tr. Anna Jausions;recenzo
47 - 2016;aprilo;280;106-107;Zlatoje Martinov;Profundpensa legaĵo;;;EN VITRINO;recenzo;Julia Sigmond, Sen Rodin (2015), Kvodlibeto;recenzo
47 - 2016;aprilo;280;108-109;Carlo Minnaja;Kiel bela la dialekto…;;;EN VITRINO;recenzo;(2016), Quando fiorissi el mandorlo/ Kiam ekfloras la migdalarbo, poemkolekto dulingva itala/ Esperanto;recenzo
47 - 2016;aprilo;280;110;Perla Martinelli;La perdita amiko;;;BELETRO;novelo;;prozo originala
47 - 2016;junio;281;115;Mao Zifu;Arboj falintaj;;;UVERTURO;prozpoemo;;poezio originala
47 - 2016;junio;281;116-118;Giorgio Silfer;Pacifisma klasikaĵo nia unua bildromano;;;REDAKCIE;bildromano;;anonco
47 - 2016;junio;281;119-124;Carlo Minnaja;La interesiĝo pri Ŝekspiro daŭras seninterrompe…;;;NOVJARA SALUTO;datreveno;;anonco
47 - 2016;junio;281;125;Terĉisju Zarb;Pravigaj en sia neŭrozo;Carmen Mallia;malta;BELETRO;poemo;;poezio tradukita
47 - 2016;junio;281;126-131;Vinko Ošlak;Avo Franjo kaj lis nepino Hannah;;;BELETRO;religio;;prozo originala
47 - 2016;junio;281;132-133;Liven Dek;Lulkantoj de Liven Dek;;;MUZIKO;kantoj;;poezio originala
47 - 2016;junio;281;134-138;Zlatoje Martinov;Kiel arkaikigi la esperantajn tradukojn el la naaciaj lingvoj?;;;ZAMENHOFOLOGIO;lingvo;;eseo originala
47 - 2016;junio;281;139;Carlo Minnaja;Forpasis amiko;;;MEMORE PRI;omaĝo;;nekrologo
47 - 2016;junio;281;140-141;Marie-France Conde Rey;Femina - vera sumo de kuniĝintaj virinaj talentoj;;;FEMINISMO;retrorigardo;;recenzo
47 - 2016;junio;281;142-143;Leif Nordenstorm;Kvindek ok jarojn poste…;;;LINGVISTIKO;prezento;;eseo originala
47 - 2016;junio;281;144-146;Carmel Mallia;Transflugo, kvina parto;;;MEMORE PRI;historia eseo;;nekrologo
47 - 2016;junio;281;147-151;Ignacio Gómez;Faŭsto;Perla Martinelli;hispana;BELETRO;rakonto;;prozo tradukita
47 - 2016;junio;281;152-153;Umberto Eco;Kial oni ne uzu la poŝtelefonon;Carlo Minnaja;itala;HUMURO;elzeviro;;prozo tradukita
47 - 2016;junio;281;154-157;Miro Gavran;Malĝusta loĝejo;Zdravko Seleŝ;kroata;BELETRO;novelo;;prozo tradukita
47 - 2016;junio;281;159-161;Julian Modest;La elokventa monumento;;;EN VITRINO;recenzo;Carlo Minnaja, Giorgio Silfer (2015), Historio de la Esperanta Literaturo;recenzo
47 - 2016;junio;281;162-164;Dimitrije Jariĉiĉ;Ne nur porinfana legaĵo;;;EN VITRINO;recenzo;Mato Lovrak (2015), La trajno en la neĝo, tr. Josip Pleadin;recenzo
47 - 2016;junio;281;165-166;Zlatoje Martinov;Kontribuo al nia historio;;;EN VITRINO;recenzo;Ivo Lapenna (2014), Esploro kaj Dokumentado;recenzo
47 - 2016;aŭgusto;282;171;Milan Orliĉ;Letero al eterna Ovidio;Zlatoje Martinov;serba;UVERTURO;letero;;poezio tradukita
47 - 2016;aŭgusto;282;172-175;Giorgio Silfer;La sola internacia rivalo de generalo De Gaulle;;;REDAKCIE;prezento;;anonco
47 - 2016;aŭgusto;282;176-183;Matthijs van Boxsel, enkondukas Perla Martinelli;Stultodromo aŭ loksodromio de stulteco;Bertil Nilsson;angla;SPECIALE PEN;dokumento;;anonco
47 - 2016;aŭgusto;282;184-188;Luis Fernando Dias Pita;La centjariĝo de la fama Kurso pri ĝenerala lingvistiko;;;LINGVISTIKO;eseo;;eseo originala
47 - 2016;aŭgusto;282;189-193;Tomo Maretiĉ, Zlatoje Martinov;Favore al planlingvo…;Josip Pleadin;kroata;PLANLINGVISTIKO;eseo;;eseo tradukita
47 - 2016;aŭgusto;282;194-201;Vinko Ošlak;Ĉu tro peza kultúra ŝarĝo super Hannah?;;;KULTURPOLITIKO;eseo;;eseo originala
47 - 2016;aŭgusto;282;202-206;Julian Modest;Mallonga skizo pri la bulgara prozo;;;EN VITRINO;kritiko;;recenzo
47 - 2016;aŭgusto;282;207;Giorgio Silfer;Junkro, kavaliro, hidalgo…;;;KOMENTARIO;artikolo;;eseo originala
47 - 2016;aŭgusto;282;208-211;Branislav Mikuliĉ;La genia blago de Mikelanĝelo;Zlatoje Martinov;bosnia;BELETRO;rakonto;;prozo tradukita
47 - 2016;aŭgusto;282;212-214;Carmel Mallia;Transflugo, sesa parto;;;MEMORE PRI;historia eseo;;nekrologo
47 - 2016;aŭgusto;282;215;Jovica Ivanovski;Inverse ol kutime;Judita Rey Hudeĉek;makedona;BELETRO;poemo;;poezio tradukita
47 - 2016;aŭgusto;282;216-217;Julian Modest;Solecaj animoj;;;BELETRO;novelo;;prozo originala
47 - 2016;aŭgusto;282;218-220;Carlo Minnaja;Kiam oni maljuniĝas…;;;EN VITRINO;recenzo;"Julia Sigmond (2016), Kvin
geamikoj";recenzo
47 - 2016;aŭgusto;282;220;Bertil Nilsson;Selekto de kandidatoj;;;KONKURSFAKO;premio;;anonco
